Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000366677,,London,1896,John Macqueen,The Selected Poems of J. S. Blackie. Edited with an appreciation by Archibald Stodart Walker. With a portrait,"BLACKIE, John Stuart.","WALKER, Archibald Stodart.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000366677,British Library HMNTS 11612.df.24.
000367055,,Edinburgh & London,1897,W. Blackwood & Sons,Dariel. A romance of Surrey ... With drawings by Chris Hammond,"Blackmore, R. D. (Richard Doddridge)","HAMMOND, Chris - Miss",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367055,British Library HMNTS 012623.eee.43.
000367064,"(Twentieth edition.) With illustrations by Mr. F. Armstrong, Mr. W. Small and Mr. W. H. J. Boot.",London,1883 [1882],Sampson Low & Co.,[Lorna Doone: a romance of Exmoor.],"Blackmore, R. D. (Richard Doddridge)","ARMSTRONG, Francis A. W. T.|BOOT, William Henry James.|SMALL, William - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367064,British Library HMNTS 12620.h.7.
000367739,,Paris,1860,,Lettre écrites des régions polaires par lord Dufferin et traduites de l'anglais ... par F. de Lanoye. Ouvrage illustré de vingt-cinq vignettes sur bois et accompagné de trois cartes,"BLACKWOOD, Frederick Temple Hamilton Temple - Marquis of Dufferin and Ava","TUGNOT DE LANOYE, Ferdinand.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367739,British Library HMNTS 10281.h.23.
000367740,[Another edition.] [With a portrait.],Paris,1882,,[Lettre écrites des régions polaires par lord Dufferin et traduites de l'anglais ... par F. de Lanoye. Ouvrage illustré de vingt-cinq vignettes sur bois et accompagné de trois cartes.],"BLACKWOOD, Frederick Temple Hamilton Temple - Marquis of Dufferin and Ava","TUGNOT DE LANOYE, Ferdinand.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367740,British Library HMNTS 10280.g.3.
000367760,,"pp. x. 429. John Murray: London, 1894",,,"Songs, Poems, & Verses. By Helen, Lady Dufferin ... Edited with a memoir, and some account of the Sheridan family, by her son, the Marquess of Dufferin and Ava. With portrait","BLACKWOOD, Helen Selina - Baroness Dufferin, afterwards HAY (Helen Selina) Countess of Gifford","BLACKWOOD, Frederick Temple Hamilton Temple - Marquis of Dufferin and Ava",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367760,British Library HMNTS 011652.g.26.
000367951,,Stockholm,1882,,"Bonderesningen i svenska Österbotten. En episod från 1808 års finska krig. Dagboksanteckningar af Kanslirådet P. J. Bladh, sammanstälda af J. Oskar I. Rancken","BLADH, Peter Johan.","RANCKEN, J. Oskar I.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000367951,British Library HMNTS 9431.bb.9.
000369313,,London,1790,H. Lemoine,"The Grave, a poem: altered into rhime, from the blank verse, of R. Blair. To which is added, Gray's celebrated Elegy, written in a Country Church-Yard. Both illustrated with notes and occasional remarks [by Henry Lemoine]","BLAIR, Robert - Minister of Athelstaneford","LEMOINE, Henry - Bookseller",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000369313,British Library HMNTS 992.h.21.(4.)
000369579,,London,1896,Richard Bentley & Son,Anthony Blake's Experiment. [A novel. By Alice O'Brien.],"BLAKE, Anthony.","O'BRIEN, Alice.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000369579,British Library HMNTS 012629.k.3.
000369722,,New York,1874,Harper & Bros.,"Arctic Experiences: containing Capt. George E. Tyson's ... drift on the ice-floe, a history of the Polaris expedition, the cruise of the Tigress, and rescue of the Polaris survivors ... Edited by E. V. Blake. [With plates.]","BLAKE, Euphemia Vale.","TYSON, George E.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000369722,British Library HMNTS 10460.ee.2.
000369931,,London,[1866-1867],E. Harrison,"Blueskin: a romance of the last century. By the author of “Black Bess; or, the Knight of the road” [i.e. Edward Viles]","BLAKE, Joseph - called Blueskin","VILES, Edward.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000369931,British Library HMNTS 12620.h.30.
000370897,,London,1899,John Murray,"A Boy in the Peninsular War. The services, adventures, and experiences of Robert Blakeney, subaltern in the 28th regiment. An autobiography. Edited by J. Sturgis, etc","BLAKENEY, Robert.","STURGIS, Julian Russell.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000370897,British Library HMNTS 09078.bb.17.
000371033,,Oswestry,1897,"Woodall, Minshall & Co.",History of Shrewsbury Hundred or Liberties ... Edited from the original MS. in the Bodleian Library by the Rev. W. G. D. Fletcher ... Reprinted from the Shropshire Archæological Transactions,"BLAKEWAY, John Brickdale.","FLETCHER, William George Dimock.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000371033,British Library HMNTS 010360.ee.3.
000371430,,London,1858,Chapman & Hall,1848. Historical Revelations: inscribed to Lord Normanby. [An answer to Lord Normanby's “A Year of Revolution in Paris.”],"BLANC, Jean Joseph Louis.","PHIPPS, Constantine Henry - Marquis of Normanby",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000371430,British Library HMNTS 1320.c.28.
000371439,,London,1866,Sampson Low & Co.,Letters on England ... Translated from the French by James Hutton and revised by the author,"BLANC, Jean Joseph Louis.","HUTTON, James - Author of “A Hundred Years Ago.”",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000371439,British Library HMNTS 10348.cc.9.
000371441,,London,1867,Sampson Low & Co.,Letters on England ... Second series. Translated by James Hutton and L. J. Trotter,"BLANC, Jean Joseph Louis.","HUTTON, James - Author of “A Hundred Years Ago.”|TROTTER, Lionel James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000371441,British Library HMNTS 10348.cc.10.
000372812,,enk,1889 [1888],Drane,The prophet's mantle,"Bland, Fabian.","Nesbit, E. (Edith)|Bland, Hubert",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000372812,British Library HMNTS 012633.h.42.
000373327,,Amsterdam,1899,,"Gids der Nederlandsche weldadigheid. Uit officiëele en particuliere bronnen bewerkt door J. F. L. Blankenberg, Dr. H. J. de Dompierre de Chaufepié en Jhr. Mr. H. Smissaert. Met een voorrede van Mr. N. G. Pierson","BLANKENBERG, J. F. L.","DOMPIERRE DE CHAUFEPIÉ, Henri Jean de.|PIERSON, Nikolaas Gerard.|SMISSAERT, H.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000373327,British Library HMNTS 010271.i.7.
000373449,,Évreux,1899,,La Chapelle de Gaillon et les fresques d'Andrea Solario. (Extrait du Bulletin de la Société des Amis des Arts du département de l'Eure.),"BLANQUART, François M. A.","SOLARIO, Andrea - called Del Gobbo",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000373449,British Library HMNTS 010168.h.15.
000373601,,Bucarest,[1886?],,"Essai comparé sur les institutions, les lois et les mœurs de la Roumanie ... Éclaircissements et annexes. Réponse à deux contradicteurs [i.e. George Popovici and Josef Ladislav Píč]","BLARAMBERG, Nicolae.","PÍČ, Josef Ladislav.|POPOVICI, George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000373601,British Library HMNTS 10126.g.13.
000375446,,New York,1865,Joseph Sabin,"The Order Book of Capt. Leonard Bleeker, Major of Brigade in the ... expedition under Gen. James Clinton, against the Indian settlements of Western New York, in the campaign of 1779. [The editor's introduction signed: F. B. H., i.e. F. B. Hough.]","BLEEKER, Leonard.|BLENCOWE, Robert Willis.","HOUGH, Franklin Benjamin.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000375446,British Library HMNTS 9602.bbb.29.
000376211,,Paris,1896,,Lyon Pittoresque ... Avec une préface de M. Coste-Labaume. Illustré ... par J. Drevet,"BLETON, Auguste.","DREVET, Joannès.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000376211,British Library HMNTS 10173.h.25.
000376259,,London,"1894, [1893]",J. C. Nimmo,"Brighton and its Coaches. A history of the London and Brighton road. With some account of the provincial coaches that have run from Brighton ... With twenty illustrations from original water-colour drawings by J. & G. Temple, etc","BLEW, William Charles Arlington.","TEMPLE, George - Artist|TEMPLE, James - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000376259,British Library HMNTS 10349.h.34.
000376790,[Another edition.] With an introduction by A. R. Wallace.,London,1899,T. F. Unwin,[The Ascent of Man. [With other poems.]],"BLIND, Mathilde.","WALLACE, Alfred Russel.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000376790,British Library HMNTS 11650.ff.7.
000376809,,London,1897,T. Fisher Unwin,A Selection from the Poems of Mathilde Blind. Edited by A. Symons,"Blind, Mathilde","Symons, Arthur",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000376809,British Library HMNTS 11611.de.2.
000376847,,Edinburgh,1868,Edmonston & Douglas,Blindpits. [A novel. By Elizabeth Taylor.],,"TAYLOR, Elizabeth - Novelist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000376847,British Library HMNTS 12626.e.1.
000377137,,Chicago,1875,S. C. Griggs & Co.,"Three Months in the Orient; also, Life in Rome, and the Vienna Exposition. [A series of letters contributed to the Chicago “Inter-Ocean.” The editors' preface signed: E. R. B., H. M. B., i.e. E. R. Bliss and H. M. Bliss respectively?]","BLISS, Orville Justus.","B., E. R.|B., H. M.|BLISS, E. R.|BLISS, H. M.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000377137,British Library HMNTS 10076.bbb.1.
